nama,vote_average,vote_count,type,htm_weekday,htm_weekend,latitude,Address,longitude,description,,
Taman Pelangi Jogja,4.3,5459,Buatan,15000,20000,-77.505.259,"Sariharjo, Kecamatan Ngaglik, Kabupaten Sleman, Yogyakarta",1.103.687.049,"Kalau pelangi biasanya ada di siang hari pasca hujan, maka di Taman Pelangi Yogyakarta pengunjung justru bisa menikmatinya setiap malam hari. Ya, ini lantaran taman ini merupakan Taman Lampion beraneka warna dan rupa. Pengunjung bisa mengarahkan diri ke deretan lampion yang berbentuk flora dan fauna. Ada juga lampion berbentuk tokoh kartun disney dan kartun jepang, dinosaurus, naga, serta kehidupan bawah laut yang sangat menarik perhatian terutama anak-anak. Tak meninggalkan Budaya dan Sejarah, ada juga lampion yang berbentuk wajah para tokoh pemimpin bangsa. Buka sejak petang, Taman ini memang sangat cocok dijadikan pilihan destinasi rekreasi keluarga saat malam hari.",,
Situs Warungboto,4.4,5392,Budaya dan Sejarah,0,0,-78.102.685,"Jalan Veteran Nomer 77, Warungboto, Umbulharjo, Yogyakarta",1.103.931.513,"Situs Warungboto merupakan petilasan yang dibangun pada masa pemerintahan Sultan Hamengkubuwono I. Kemudian, pembangunannya diteruskan pada masa pemerintahan Sultan Hamengkubuwono II. Dulunya, tempat ini khusus dijadikan sebagai tempat pemandian. Dikarenakan adanya sumber mata air di lokasi tersebut. Situs Warungboto berada di tengah Kota Jogja, tepatnya di Umbulharjo. Objek wisata ini merupakan peninggalan berBudaya dan Sejarah yang dulu dibangun oleh keluarga keraton. Saat ini, area situs telah dibersihkan dan direnovasi sehingga dapat dikunjungi wisatawan. Tentunya tempat ini begitu menarik karena bangunannya yang unik dan instagramable.",,
Pantai Cemara Sewu Bantul Yogyakarta,4.4,5372,Pantai,10000,10000,-8.019.114,"Jl. Pantai Parangkusumo, Pantai, Parangtritis, Kec. Kretek, Bantul, Daerah Istimewa Yogyakarta",1.103.145.616,"Jika anda mencari suasana nyaman dan ketenangan, maka pantai ini lah juaranya. Seperti namanya yang berarti pantai seribu cemara, maka begitu anda tiba di area pantai anda akan langsung disambut dengan pohon cemara. Pohon cemara menjadi ikon penting bagi pantai ini. Berbeda dengan pantai-pantai lain yang akan semakin panas jika hari semakin siang. Di Pantai Cemoro Sewu suasana teduh akan bisa selalu anda rasakan walaupun matahari sangat menyengat sekalipun. Gazebo-gazebo yang berdiri rapi di antara pepohonan cemara yang rimbun membuat pengunjung semakin betah untuk bersantai di sana. Apalagi jika semakin sore angin pantai akan semakin semilir menambah sejuk suasana.",,
Bukit Klangon,4.5,5280,Alam,5000,5000,-75.768.966,"Kalitengah Lor, Glagaharjo, Cangkringan, Sleman, Yogyakarta",1.104.548.266,Di bukit Klangon kita akan disuguhkan pemandangan luar biasa dari Gunung Merapi. Kita bisa melihat gunung berapi aktif ini dengan jarak yang begitu dekat. Kita tak perlu mendaki hingga puncaknya karena di Bukit Klangon ini kita sudah bisa melihat puncak Gunung Merapi dengan cukup jelas. Di sini terdapat beberapa gardu pandang yang bisa kita gunakan untuk melihat eksotisme alam sekitar bukit. Gardu pandang ini juga biasa menjadi spot foto jadi jangan sampai anda melupakan kamera anda untuk berburu pemandangan yang instagenic.,,
Taman Wisata Kaliurang,4.4,5217,Alam,8000,8000,-7.598.797,"Jl pelajar, kaliurang hargobinangun Sleman yogyakarta",11.042.636,"Taman Wisata Kaliurang dapat menjadi referensi wisata akhir pekan keluarga. Pemandangan sekitar sangatlah indah, masih banyak pepohonan yang tumbuh tinggi menjulang. Ditambah lagi pemandangan puncak Gunung Merapi yang gagah. Selain itu, udara di sekitar pun masih sangat sejuk. Aroma asap kendaraan bermotor pun tidak tercium di kawasan ini. Berada di sini membuat paru â€“ paru menjadi lebih sehat. Banyak wisatawan yang datang bersama keluarga. Duduk santai beralaskan tikar di atas rerumputan sambil bercengkerama dengan keluarga. Ditambah lagi, suasana yang sangat mendukung untuk beramah â€“ tamah. Selain menyuguhkan pemandangan yang indah, Taman Wisata Kaliurang pun memiliki wahana outbound. Seperti flying fox hingga rumah pohon Ridz High Rope.",,
Jogja National Museum,4.6,5041,"Museum, Budaya dan Sejarah",0,0,-78.001.175,"Jl. Prof. DR. Ki Amri Yahya No.1, Pakuncen, Wirobrajan, Kota Yogyakarta, Daerah Istimewa Yogyakarta",1.103.534.164,"Bagi para pecinta kesenian, tentu tidak akan pernah melewatkan yang namanya tempat atau gedung yang menyimpan berbagai hasil kesenian. Salah satu gedung kesenian di kawasan Yogyakarta yang cukup terkenal adalah Jogja National Museum. Letaknya berada di Jalan Amri Yahya Yogyakarta ini. Museum ini sendiri sudah berdiri cukup lama dan menyajikan berbagai karya seni menarik nanapik. Secara singkat museum ini mempertontonkan aneka karya seni kontemporer yang unik dan berkualitas tinggi. Bagi Anda yang sangat suka atau sedang menempuh studi seputar karya seni kontemporer, maka keputusan untuk berkunjung ke tempat ini sangatlah tepat. Anda akan disambut dengan karya-karya seni rupa dari berbagai seniman dan juga dengan kreativitas, serta keunikannya masing-masing.",,
Taman Pintar Yogyakarta,4.5,4846,Buatan,20000,20000,-7.799.757.357,"Jl. Panembahan Senopati No.1-3 Ngupasan, Gondomanan, Yogyakarta 55122 Indonesia",1.103.678.697,"Taman Pintar Yogyakarta adalah wahana wisata yang terdapat di pusat Kota Yogyakarta, tepatnya di Jalan Panembahan Senopati No. 1-3, Yogyakarta, di kawasan Benteng Vredeburg. Taman ini memadukan tempat wisata rekreasi maupun edukasi dalam satu lokasi. tempat rekreasi ini sangat baik untuk anak-anak dalam masa perkembangan. taman ini, khususnya pada wahana pendidikan anak usia dini dilengkapi dengan teknologi interaktif digital serta pemetaan video yang akan memacu imajinasi anak serta ketertarikan mereka terhadap teknologi",,
Pantai Indrayanti,4.4,4793,Pantai,12000,12000,-81.508.415,"Desa Tepus, Kecamatan Tepus, Gunung Kidul, Yogyakarta",1.106.129.852,"Pantai kecil berpasir putih yang dikelilingi pepohonan dan bebatuan besar, serta beragam restoran & pertokoan",,
Mangrove Jembatan Api-Api (MJAA),4.3,4425,Alam,8000,8000,-789.485,"Pasir Mendit, Jangkaran, Kec. Temon, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta",1.100.253.631,Mangrove Jembatan Api-api di Kulon Progo ini memadukan konsep alam dan spot instagenik. Anda bisa bersantai sambil foto-foto di sini.,,
Embung Nglanggeran,4.5,4366,Buatan,10000,10000,-78.471.399,"Desa Nglanggeran, Kecamatan Patuk, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta",1.105.468.589,"Embung Nglanggeran merupakan waduk kecil tempat menampung air yang memiliki luas sekitar 0,34 hektar. Air embung ini digunakan untuk sarana pengairan di area perkebunan sekitar. Selain untuk pengairan, telaga ini juga dimanfaatkan sebagai obyek wisata. Itu karena keindahan panorama yang dapat disaksikan dari embung berketinggian sekitar 495 meter di atas permukaan laut ini. Selain embung (telaga tampungan air), pemandangan gunung api purba menjadi pesona yang ditawarkan oleh objek wisata tersebut.",,
Bukit Wisata Pulepayung,4.5,4287,"Alam, Buatan",10000,10000,-78.001.106,"Soropati, RT.007/RW.003, Hargotirto, Kokap, Kulon Progo, Yogyakarta ",1.101.238.954,"Pule Payung Kulon Progo Yogyakarta merupakan wisata alam dengan spot foto instagramable. Letaknya tidak jauh dari Kalibiru yaitu terletak di Kulon Progo, Yogyakarta. Tempat wisata yang satu ini sangat direkomendasi untuk anak muda yang ingin mendapatkan foto-foto unik karena memiliki banyak spot foto menarik. Daya tarik yang pertama dari Pule Payung Yogyakarta adalah objek wisata yang menyajikan pesona alam pegunungan. Sehingga, orang-orang menyebutnya dengan Bukit Wisata. Pule Payung Yogyakarta adalah objek wisata yang bukan hanya sekedar menawarkan keindahan, serta kenyamanan dalam berwisatanya saja. Namun mampu memberikan rasa aman bagi setiap pengunjungnya. Daya tarik Pule Payung Yogyakarta yang paling populer adalah onjek wisata yang menyajikan beragam spot keren yang instagramable.",,
Seribu Batu Songgo Langit,4.6,4223,"Alam, Buatan",2500,2500,-7.931.099,"Jalan Hutan Pinus Nganjir, Mangunan, Dlingo, Bantul, Daerah Istimewa Yogyakarta",110.429.738,"Disekitar hutan pinus ternyata masih banyak tempat wisata yang wajib dikunjungi, salah satunya adalah Seribu Batu Songgo Langit. Namanya terdengar asing, namun apabila disebut rumah Hobbit, tentunya sahabat akan segera tahu tempat wisata ini. Ya, Seribu Batu Songgo Langit adalah lokasi dimana terdapat rumah Hobbit yang ada di kawasan Mangunan. Rumah Hobbit yang dimaksud berbeda dengan yang ada di New Zealand pastinya. Rumah Hobbit disini merupakan tiruan dari yang terdapat di film Hobbit atau yang ada di New Zealand. Songgo langit berarti penyangga langit, hal ini dikarenakan di Seribu Baru Songgo Langit terdapat bukit yang seakan akan merupakan tiang dari langit .Seribu Batu Songgo Langit merupakan tempat wisata di kawasan Dlingo yang menawarkan berbagai macam atraksi wisata, namun kebanyakan adalah spot foto. Spot foto di Seribu Batu hampir semuanya anti mainstream.",,
Jurang Tembelan Kanigoro,4.5,3867,"Alam, Buatan",0,0,-79.401.065,"Dukuh Kanigoro, Mangunan, Bantul, Yogyakarta",1.104.300.062,"Objek wisata Bantul ini ialah wisata alam spot foto terbaru yang sekarang menjadi hits di kalangan remaja kekinian. Sebab jurang Tembelan Mangunan Jogja memiliki deck view atau gardu pandangan terlihat cukup unik mirip seperti kapal. Tak heran pada akhirnya banyak wisatawan menyebutnya sebagai kapal titanic diatas awan. Sebelum seperti sekarang, sebenarnya jurang Tembelan Kanigoro Bantul tergolong masih sepi pengunjung. Lantaran baru saja dikembangkan oleh pihak pengelola wisata. Namun spot foto corner berupa gardu pandangan unik dan keindahan dimilikinya membuat pengunjung mulai ramai menyemarakkan. Sehingga tak lagi wisatawan lokal saja berbondong-bondong kesana, wisatawan luar kota pun dibuat penasaran dan menyempatkan waktu berswafoto. Di wisata alam Jogja ini pengunjung diperbolehkan bebas melakukan sesi pemotretan atau pun hanya sekedar berselfie ria. Tak hanya itu saja, pengunjung pun juga dapat menyaksikan lanskap matahari terbenam ketika menjelang sore hari dan juga kala matahari terbit yang diiringi pula keindahan tebal nya kabut putih khas pegunungan Mangunan.",,
Malioboro,4.7,3752,"Buatan, Budaya dan Sejarah",3000,3000,-77.982.487,"Jl. Malioboro, Kota Yogyakarta, Daerah Istimewa Yogyakarta",1.103.652.793,"Malioboro adalah jantung Kota Jogja. Meskipun terkenal sebagai surga belanja cendera mata dan barang kerajinan, ternyata tak sedikit wisatawan dan orang lokal mendatangi Malioboro pagi-pagi sekali untuk berolahraga atau sekedar menikmati udara segar sambil mencari sarapan",,
Blue Lagoon Jogja,4.3,3585,"Alam, Wisata Air",3000,3000,-77.044.358,"Area Sawah, Widodomartani, Ngemplak, Sleman, Daerah Istimewa Yogyakarta",11.045.026,"Blue Lagoon Jogja merupakan salah satu obyek wisata yang di jadikan tempat pemandian sumber mata air ini yang muncul dari permukaan tanah di dalam kolam. Apabila Anda melihat ke dalam kolam akan terlihat gelembung-gelembung kecil yang muncul dari permukaan tanah. Hal itu menunjukkan bahwa terdapat air yang terus menerus muncul dari permukaan tanah tersebut. Meskipun Blue Lagoon di Jogja ini sudah lama namun tempat wisata ini mulai tenar dipertengahan tahun 2014. Pemandian Blue Lagoon ini terletak di Desa Dalem, Widodomartani, Ngemplak, Sleman, Yogyakarta",,
Bundaran UGM,4.7,3535,Buatan,0,0,-77.760.052,Bundaran UGM,,,,
Bulak Sumur Yogyakarta,"Yogyakarta""",1.103.760.616,Bundaran UGM merupakan gerbang masuk utama Universitas Gadjah Mada.,,,,,,,,
Pantai Pok Tunggal,4.5,3467,Pantai,10000,10000,-81.554.468,"Jl.Poktunggal, Tepus, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta",1.106.217.582,"Pantai Pok Tunggal adalah salah satu pantai populer di Gunungkidul. Pantai ini terletak di Desa Tepus, Kecamatan Tepus. Posisinya sejajar dan tak jauh dari Pantai Indrayanti dan Pantai Watulawang yang tak kalah populer. Nama Pok Tunggal berasal dari keberadaan pohon duras di kawasan pantai tersebut. Pohon jenis ini dikenal sangat sulit tumbuh di daerah pesisir. Karena hanya satu-satunya, pohon ini kemudian menjadi semacam maskot bagi pantai ini. Yang menjadi ciri khas pantai ini adalah bentuknya yang sempit dan memanjang. Di samping itu, lokasinya yang dikelilingi bukit kapur dan karang menjadikan Pok Tunggal tampak lebih eksotis. Pantai ini cocok sebagai destinasi berbagai macam kegiatan rekreasi.",,
Pantai Ngobaran,4.5,3288,"Pantai, Budaya dan Sejarah",5000,5000,-81.191.333,"Jalan Ngobaran, Ngrenehan, Sapto Sari, Gebang, Kanigoro, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta",1.105.050.409,Keunikan yang menjadi ciri khas Pantai Ngobaran adalah adanya Pura dan Arca. Keberadaannya membuat sekilas Pantai Ngobaran memiliki suasana khas yang mirip dengan Pulau Bali. Satu keunikan yang kemungkinan besar tersembunyi dari kebanyakan wisatawan adalah adanya sumber air tawar di tepi laut. Namun aliran air tawar hanya bisa ditemukan ketika air laut sedang surut. Satu sajian spesial yang bisa didapatkan di Pantai Ngobaran adalah landak laut atau bulu babi. Kuliner ini bisa dipesan di warung-warung yang ada di sekitar pantai. Bagian landak laut yang dimakan adalah dagingnya.,,
Bukit Panguk Kediwung,4.5,3245,Alam,3000,3000,-79.583.695,"Desa Mangunan, Kecamatan Dlingo, Kabupaten Bantul, Daerah Istimewa Yogyakarta",1.104.407.622,"Bukit Panguk Kediwung berlokasi di Kediwung, Mangunan, Dlingo, Bantul, Yogyakarta. Jangan khawatir untuk tersesat karena di sepanjang jalan menuju ke lokasi kita akan melihat beberapa papan petunjuk. Kurang lebih berjarak 20 km dari pusat Kota Yogyakarta. Dari pusat Kota Yogyakarta anda bisa bergerak menuju ke selatan tepatnya ke arah Jalan Imogiri Timur, ikuti jalan hingga menemukan Pasar Imogiri, lalu belok kiri dan lanjutkan perjalanan menuju ke arah Dlingo, dari sana anda akan mulai melihat petunjuk jalan menuju Bukit Panguk Kediwung. Akses jalan menuju Bukit Panguk Kediwung sudah diaspal halus hanya saja konturnya sedikit naik turun namun masih dalam kategori aman. Sangat disarankan untuk menggunakan kendaraan pribadi karena akses ke sini menggunakan kendaraan umum cukup sulit. Salah satu yang menjadi magnet bagi pengunjung untuk datang adalah keindahan pemandangan alamnya. Pengelola sudah menyediakan beberapa gardu pandang terbuat dari kayu dan bambu yang sengaja dibangun menjorok ke arah bibir tebing sehingga pengunjung bisa melihat dengan jelas pemandangan di bawah Bukit Panguk Kediwung yang eksotis. Dari atas kita bisa melihat aliran panjang Sungai Oya yang membelah bukita hijau yang menghampar hijau. Gardu pandang ini bukan gardu pandang biasa karena memiliki bentuk-bentuk yang unik karena sekaligus jadi spot foto. Ada yang berbentuk jembatan memanjang, bentuk sayap kupu-kupu, bentuk kereta kuda, dan masih banyak lagi. Gardu pandang dengan bentuk biasa juga tersedia. Gardu pandang di Puncak Bukit Penguk Kediwung ini terbagi dalam dua bagian, yaitu bagian timur dan selatan. Gardu pandang bagian timur sangat cocok untuk menikmati matahari terbit di pagi hari sedangkan gardu pandang sebelah selatan menghadap ke pegunungan yang berjajar. Kedua spot sama-sama menyuguhkan pemandangan yang luar biasa dan tidak boleh anda lewatkan ketika liburan di Yogyakarta.",,
Kebun Teh Nglinggo,4.5,3199,Agrowisata,10000,10000,-7.647.054,"Dusun Nglinggo, Desa Pagerharjo, Kecamatan Samigaluh, Kabupaten Kulon Progo",1.101.414.699,Wisata Kebun Teh Nglinggo adalah satu-satunya kebun teh yang berada di Yogyakarta. Sebenarnya kebun teh ini merupakan tempat mata pencaharian penduduk di sekitar Pagerhajo. Kemudian warga mempunyai ide untuk menjadikannya sebagai tempat wisata. Dengan pesona alamnya Kebun Teh Nglinggo menjadi objek wisata yang cukup terkenal di Kulon Progo.,,
Pantai Nglambor,4.4,3192,Pantai,10000,10000,-81.827.028," Purwodadi, Tepus, Kabupaten Gunung Kidul",1.106.792.399,"Pantai Nglambor adalah sebuah pantai eksotis yang terletak di Kelurahan Purwodadi, Kecamatan Tepus, Gunung Kidul, Daerah Istimewa Yogyakarta. Lokasinya persis di sebelah barat dari Pantai Siung dan sebelah timur dari Pantai Jogan. Jaraknya kurang lebih 74 km dari pusat kota Jogja, pantai ini menawarkan panorama pantai yang indah.",,
Air Terjun Kedung Pedut,4.5,3164,"Alam, Wisata Air",3000,3000,-77.699.875,"Desa Wonolelo Kecamatan Sawangan, Kabupaten Magelang, Provinsi Jawa Tengah.",1.101.210.707,"Air Terjun Kedung Pedut atau biasa disebut Curug Kedung Pedut berasal dari istilah bahasa Jawa. Curug yang berarti air terjun, kedung berarti kubangan atau kolam, dan pedut berarti kabut. Air Terjun Kedung Pedut merupakan salah satu wisata alam yang di Kulonprogo yang dikenal karena keindahan warna airnya.",,
Pantai Ngandong,4.5,3151,Pantai,10000,10000,-8.146.423,"Desa Sidoarjo, Kecamatan Tepus, Kabupaten Gunung Kidul, Yogyakarta",1.106.061.408,"Pantai ini memiliki garis pantai yang panjang dengan pasir putih yang bersih dan lembut. Ada bebatuan di pinggir pantai yang bisa dimanfaatkan oleh pengunjung untuk bermain air. Permainan air disini selain berenang, juga tersedia fasilitas kano. Pemandangan unik yang dapat dilihat di pantai ini, adalah adanya pulau yang berada di tengah laut. Saat sedang surut, pulau itu bisa dicapai dengan jalan kaki.",,
Pantai Sepanjang,4.4,3130,Pantai,10000,10000,-81.366.656,"Kemadang, Tanjungsari, Gunung Kidul, Daerah Istimewa Yogyakarta",1.105.659.962,"Siapa sangka, ternyata Yogyakarta pun punya â€?Kutaâ€?-nya sendiri Ialah Pantai Sepanjang, salah satu pantai di Kabuaten Gunungkidul. Daerah yang satu ini memang memiliki koleksi pantai cantik yang tak terhitung jumlahnya. Bahkan pantai ini digadang-gadang sebagai â€?Kuta Tempo Doeloeâ€?. ",,
Candi Sewu,4.6,2968,Budaya dan Sejarah,10000,10000,-77.439.217,"Jl. Raya Solo KM 16, Bugisan, Kecamatan Prambanan, Kabupaten Sleman",1.104.929.095,"Candi Sewu adalah candi Buddha yang dibangun pada abad ke-8 Masehi yang berjarak hanya delapan ratus meter di sebelah utara Candi Prambanan. Candi Sewu merupakan kompleks candi Buddha terbesar kedua setelah Candi Borobudur di Jawa Tengah. Candi Sewu berusia lebih tua daripada Candi Borobudur dan Prambanan. Meskipun aslinya memiliki 249 candi, oleh masyarakat setempat candi ini dinamakan ""Sewu"" yang berarti seribu dalam bahasa Jawa. Penamaan ini berdasarkan kisah legenda Loro Jonggrang.",,
Gunung Api Purba Nglanggeran,4.6,2807,Alam,15000,15000,-78.427.585,"Nglanggeran Kulon, Nglanggeran, Patuk, Gunung Kidul, DI Yogyakarta",1.105.379.165,"Kawasan Ekosistem Gunung Purba Nglanggeran atau yang biasa disebut Gunung Nglanggeran ini merupakan kawasan yang litologinya disusun oleh material vulkanik tua, berbentuk gunung batu raksasa yang membentang sepanjang kurang lebih 800 meter dengan tinggi mencapai 300 meter. di Kawasan Gunung Api Purba Nglanggeran juga dijumpai fauna dan flora langka, seperti tanaman tremas (tanaman obat yang hanya hidup dikawasan ekowisata Gunung Api Purba), kera ekor panjang.",,
Galaxy Waterpark,4.3,2761,Wisata Air,25000,35000,-78.159.633,"Jl Wonosari KM 6, Kalangan, Baturetno, Bangutapan, Bantul",1.104.136.917,"Galaxy Waterpark cocok sebagai opsi untuk berlibur bersama keluarga, apalagi untuk anak-anak. Disini disediakan bermacam wahana seperti kolam arus, flying fox, wahana water slide, kolam olimpic yang didesain dengan standar internasional untuk para atlet dewasa renang.",,
Pemecah Ombak Pantai Glagah,4.4,2683,"Buatan, Alam",5000,5000,-79.190.028,"Desa Glagah, Kecamatan Temon, Kulon Progo, Yogyakarta",1.100.775.951,Pemecah gelombang merupakan atraksi wisata utama yang ada di Pantai Glagah. Banyak pengunjung datang ke pantai ini untuk melihat secara langsung seperti apa pemecah gelombang itu. Ada dua pemecah gelombang di kawasan Pantai Glagah ini. Pemecah gelombang yang banyak dikunjungi wisatawan ada di sisi barat yang satu bagian dengan kawasan pantai pasir Glagah. Pemecah gelombang sisi timur bisa dijangkau melalui Dermaga Adikarta.,,
Pantai Timang,4.5,2656,Pantai,5000,5000,-81.759.266,"Danggolo, Desa Purwodadi, Kecamatan Tepus, Kabupaten Gunung Kidul",1.106.624.196,"Begitu memasuki wilayah pantai, pengunjung akan disambut dengan indahnya perpaduan warna alam. Air di bibir pantai yang berwarna hijau toska, dan semakin berwarna biru ke tengah laut. Tidak perlu ditanya lagi, tentu airnya begitu jernih dan bersih. Selain itu, terdapat pula perbukitan yang ditumbuhi banyak pohon, begitu menyejukkan dipandang mata. Batu â€“ batu karang yang besar membentang dengan gagahnya. Siap menghadang besarnya ombak yang menghantam pantai. Yang paling khas dari pantai ini adalah keberadaan gondola untuk menyeberang menuju Pulau Timang. Gondola ini membentang dari Pantai menuju ke Pulau Timang yang berupa batu karang. Gondola ini terbuat dari kayu sederhana, dengan tali tambang yang ditarik manual. Wahana lain yang juga memacu adrenalin adalah Jembatan Gantung. Jembatan ini juga menghubungkan area pinggir pantai dengan Pulau Timang. Dimana jembatan ini menjadi alternatif bagi pengunjung yang ingin menyeberang selain menggunakan gondola.",,
Museum HM Soeharto,4.4,2628,"Museum, Budaya dan Sejarah",,,-77.913.177,"Jl. Kemusuk Lor Jl. Nulis-Puluhan, Srontakan, Argomulyo, Kec. Sedayu, Kabupaten Bantul",1.102.805.284,"Museum Soeharto adalah adalah bangunan berBudaya dan Sejarah berbentuk museum yang menyimpan memoar dan peninggalan-peninggalan Jenderal Besar TNI Soeharto yang diresmikan pada tahun 2013. Museum ini berdiri di atas tanah milik Soeharto yang terletak di Dusun Kemusuk Lor, Desa Argomulyo, Kecamatan Sedayu, Kabupaten Bantul, Daerah Istimewa Yogyakarta. Di dalam memorial ini, terdapat sebuah bangunan joglo besar di pusat lokasi, rumah kakek buyut Pak Harto yaitu Notosudiro. Terdapat juga barang-barang peninggalan, diorama Budaya dan Sejarah kehidupan pak Harto,  dokumen arsip nasional, video, dan beberapa foto yang berkaitan dengan Budaya dan Sejarah Pak Harto. ",,
Bukit Lintang Sewu,4.5,2600,Alam,3000,3000,-79.157.997,"Jalan Dahromo Karang Asem, Muntuk, Dlingo, Bantul",1.104.366.436,"Bukit Lintang Sewu merupakan salah satu tempat wisata alam yang berhawa sejuk di Yogyakarta. Keunggulan lainnya adalah lingkungannya menawarkan panorama yang indah. Dari bukit ini dapat melihat pemandangan lampu kota atau melihat bintang di malam hari. Bukit Lintang Sewu juga punya banyak fasilitas liburan, seperti area glamping, camping, outbound dan hutan kayu putih",,
Grand Puri Waterpark,4.2,2440,Wisata Air,35000,35000,-78.777.662,"Jalan Parangtritis Km. 9,5 (Gabusan, Sewon), Bantul, DI Yogyakarta",110.352.078,"Grand Puri Waterpark Yogya berlokasi di daerah Bantul, salah satu waterpark terbesar di Kabupaten Bantul. Tempat rekreasi keluarga yang menyediakan atraksi dan wahana seru dan bisa dimainkan baik untuk anak-anak, maupun orang dewasa. Terdapat kolam seni olympic, kolam arus, kolam penerima, dan kolam batita. Disana juga terdapat berbagai fasilitas foodcourt, freewifi, gazebo, atm, dan masih banyak lagi.",,
Balong Waterpark,4.2,2376,Wisata Air,15000,20000,-78.434.924,"Jl. Pleret KM. 1,5, Potorono, Banjardadap, Potorono, Banguntapan, Bantul, Daerah Istimewa Yogyakarta",1.104.103.899,"â€?Full of Splash and Funâ€?, itulah slogan yang diusung oleh Balong Waterpark. Di dalam waterpark ini akan kita temukan dua buah kolam utama yang diperuntukkan untuk balita dan orang dewasa. Selain itu, berbagai wahana permainan semacam ember tumbah, water coaster, hingga family slide juga tersedia untuk dinikmati. Suasana di dalam lokasi cukup sejuk dan bersih. Berbagai fasilitas umum juga sudah disiapkan untuk memberi kenyamanan bagi para pengunjung. Waterpark ini sangat recomended sebagai tujuan rekreasi akhir pekan bersama keluarga. Anak-anak bisa bermain sepuasnya, orang dewasa juga bisa bersantai dengan nyamannya. ",,
Kids Fun Park (Pusat),4.4,2314,Buatan,65500,70000,-7.827.611.573,"Jalan Parangtritis Km. 9,5 (Gabusan, Sewon), Bantul, DI Yogyakarta",1.104.413.491,Kids Fun merupakan wahana atau tempat bermain untuk anak-anak,,
Pantai Kesirat,4.6,2296,Pantai,5000,5000,-80.961.535,"Dusun Karang, Girikarto, Panggang, Gunungkidul, Yogyakarta",1.104.350.483,"Pantai Kesirat dapat dijadikan area untuk perkemahan. Letaknya yang jauh dari keramaian bisa membuat pengunjung jadi lebih nyaman dan menikmati momen kebersamaan ketika berlibur dengan keluarga, teman, atau kerabat. Disana fasilitas warung makan dan kamar mandi tetap beroperasi selama 24 jam.Yang menjadi keunggulan dari Pantai Kesirat adalah letaknya yang dikelilingi tebing. Tebing ini merupakan tempat favorit untuk memancing ikan atau sekadar duduk-duduk menikmati hembusan angin di pantai.",,
Stonehenge Merapi,4.3,2282,Buatan,5000,5000,-76.022.481,"Trutan, Kepuharjo, Cangkringan, Yogyakarta, DI Yogyakarta, Indonesia",1.104.479.012,"Wisata baru ini baru ngehits di Jogja tepatnya di Kepuharjo, Cangkringan, Sleman kamu bakal menemui replika Stonehenge, peninggalan jaman praBudaya dan Sejarah berupa susunan batu-batu besar yang tidak beraturan yang aslinya terletak di Inggris. Bentuk dan susunan batu di Stonehenge Cangkringan mirip dengan aslinya, lengkap dengan alas rumput hijaunya. Masuk dan duduk di bagian dalam lingkaran tersebut akan jadi pengalaman yang berbeda.",,
CitraGrand Mutiara Waterpark Yogyakarta,4.3,2260,Wisata Air,50000,80000,-78.137.343,"Jl. Wates KM. 9, Balecatur, Gamping, Argomulyo, Plawonan, Sedayu, Sleman, Daerah Istimewa Yogyakarta",1.102.831.838,"Waterpark ini menjadi salah satu objek wisata air favorit untuk keluarga. Mengusung tema Treasure Adventure, CitraGrand Mutiara Waterpark Yogya menghadirkan berbagai wahana permainan air yang akan membawa pengunjung seolah berpetualang bersama bajak laut.",,
Wisata Telaga Potorono,4.4,2248,"Buatan, Wisata Air",0,0,-78.300.074," Dusun Salakan Desa Potorono, Banguntapan, Bantul,Yogyakarta",1.104.204.773,"Selain diperuntukkan sebagai telaga, telaga desa Potorono juga dimanfaatkan sebagai tempat wisata alternatif yang menarik. Telaga desa Potorono menawarkan pemandangan yang indah dengan udara yang sejuk. Di sekitar telaga terdapat enam (6) buah gazebo/gubuk yang dapat dimanfaatkan sebagai tempat berteduh.",,
Desa Wisata Pulesari,4.4,2245,Desa Wisata,50000,50000,-76.258.806,"Dusun Pulesari, Desa Wono Kerto, Kecamatan Turi, Kabupaten Sleman, Daerah Istimewa Yogyakarta",110.371.698,"Suasana khas pedesaan akan segera menyambut para wisatawan saat menjejakan kaki pertama kali di desa yang masuk dalam kabupaten Sleman ini. Sungai berair jernih, perkebunan salak yang tertata rapi, dan sapaan ramah dari warga menjadi pemandangan lumrah di desa ini.",,
